content,score,categories,sentiment
"My app suddenly didnt work..everytime i used to book a car or food, in my phone display wrote ""unprocessable entity"" i told @gojekindonesia in twitter twice to solve it..but there's no results after months. How could it be?",1,negatif,0
The service itself is actually good most of the times. But I really don't like how the app FORCES me to rate the service before I can use it to order the next food. I'm hungry. I'm in the mood of good. The way this app refuse to let me order food before I rear the previous driver is ridiculous.,1,negatif,0
"The design become more confusing, and now i can't filters the food using the food category because it's removed from the new version feature. Please add back the food category feature so i can upgrade my rate",1,negatif,0
"I've been using this app since then.. Most of the drivers are good but they are all suck when the rain comes. They hold the order and try to manage the rate to be raised.. Dear, developer should you check this condition especially happens for THE CAR, make a specific rules for picking up cust and not to try raising the price by holding the req or not responding the order.. I'll give you 7stars if I have too when you've done this condition. Regards",1,negatif,0
"Need update, this version really bugging on my galaxy note 8, i just lost go pay balance after i topped up.",1,negatif,0
"Annoys me with their daily marketing email, with no option to unsubscribe anywhere (not even an option to unsubscribe emails in account settings). I deserve to choose what I want to be notified about. Sorry, but your emails will go to spam unless you've added to opt to unsubscribe emails.",1,negatif,0
I tried entering the last 6 digits of the DBS Card but it says invalid and I cannot proceed to use the app without putting in the priority code,1,negatif,0
"Paylater is annoying! it's always become first choice payment. I dont want use paylater anymore, how can I disable paylater? please answer!",1,negatif,0
"I signed up in early December.. it's been more than 3 weeks.. and it's still showing ""You're on the list"".. when most of my friends who signed up after me are already using the services. seriously?!",1,negatif,0
Lousy customer service. Unable to activate the account. But customer service unable to help.,1,negatif,0
The most idiotic app ever... Waited for so long for my acct to be approval.. And wat nonsense only dbs/posb card holders only... What happen If we dont have any balance in acct but only able to pay only by cash how???? rob bank is it and trf them to our acct... Pls improve the system and have some consideration to used easier option for the users to use this app in longer run.. Else just shut this app.. Thank u,1,negatif,0
i called the customer service to enquire about the app. called almost 1hr 30mins. no one pick up. zz. i waited for 2weeks to get accepted. nevermind. you guys didnt automatically accept by the way its because you open to all now. pissed. and wheres the entitlement for $5 off first two rides? zz lies,1,negatif,0
"always far pick up for drivers, esp peak hrs ,drivers are always allocated to 5-7km to pick up. why so you always throw our bookings to far away drivers. cancel once and give me the same driver, cancel again then can get a nearer driver within 3 mins.. Gojek if you dont improve your pick up distance within 2 km to the riders ...you are going to lose your riders... and drivers",1,negatif,0
Where are all your drivers? It used to be really fast when i booked a ride. Now i can't even get one after three tries!,1,negatif,0
"The app allow drivers to complete the trip without picking up the passengers and still get payment, reporting them is useless",1,negatif,0
"Drivers are scammers. There has been news that gojek drivers ""complete"" the trip when they haven't even gone to the location to pick the passenger up. And there's no way of contacting gojek for any feedback as customer service is down. Also, once you put in your credit card information, there's no way of removing it.",1,negatif,0
